,y
978,+
979,x
980,x
981,o
982,o
983,+
984,x
985,+
986,o
987,x
988,x
989,x
990,+
991,o
992,x
993,o
994,+
995,+
996,+
997,+
998,+
999,o
1000,+
1001,+
1002,x
1003,x
1004,x
1005,x
1006,x
1007,+
1008,+
1009,+
1010,x
1011,o
1012,x
1013,+
